kind,rowid,owner,mid,date_ts,text,permalink,has_media,map_conf
post,44,rubpak54,293,1747404229,"Висловлюємо щиру подяку всім, хто долучився до зборів. Завдяки вашій підтримці було придбано болотну гуму, систему Starlink, кондиціонер для охолодження техніки в умовах високих температур, запчастини для автомобілів, антену для підсилення сигналу дронів Mavic (Avenge), а також автомобіль Renault Master.
Ваша допомога — вагомий внесок у спільну справу.
Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com",https://t.me/rubpak54/293,1,
post,51,rubpak54,266,1743581242,"Дякуємо всім, хто донатив! Завдяки вашим внескам ми змогли придбати запчастини для ремонту автомобілів, Mavic 3 Pro, а також грязьову гуму для вивезення розвідгруп. Ваша підтримка — це наша сила!
Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com",https://t.me/rubpak54/266,1,
post,2,rubpak54,332,,"Трохи гумору
🫡
Підтримай на літак Дартс !!!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com",https://t.me/rubpak54/332,1,
post,6,rubpak54,336,,"Ми збираємо на FPV з оптоволокном, щоб рятувати життя і бити точно.
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те,
що ви з нами!
💙
💛",https://t.me/rubpak54/336,0,
post,10,rubpak54,346,,"FPV вражає, Mavic коригує. Разом вони працюють, щоб ворог не мав жодного шансу
Підтримай нас
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те,
що ви з нами!
💙
💛",https://t.me/rubpak54/346,0,
post,18,rubpak54,305,,"Кожен донат — це знищений окупант!
💳
Номер картки банки
4441111124473095
https://send.monobank.ua/jar/2dGzh1sBQs
PayPal: rubpak54ombr@gmail.com
Підтримай нашу роботу:
👉
https://www.kara.army/donate
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/305,1,
post,25,rubpak54,314,,"За нашими плечима кровопролитині бої, радості перемог та біль втрати. Але у цих визвольних змаганнях, наша ціль - вижити і дійти до кінця.
Разом — до перемоги!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/314,0,
post,26,rubpak54,315,,"Все це завдяки вам!
Дякуємо за донати!
Далі буде…
Разом — до перемоги!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/315,0,
post,27,rubpak54,316,,"Ці удари — завдяки вам. Дякуємо за донати на ДАРС. Ви — частина нашої перемоги!
Далі буде…
Разом — до перемоги!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/316,0,
post,28,rubpak54,317,,"Разом — до перемоги!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/317,0,
post,29,rubpak54,318,,"Поки ворог кидає бомби — українці збирають зерно. Ні страх, ні війна не зупинять тих, хто годує світ.
💪
🇺🇦
#СилаУкраїни
#Нескорені
#ЗбірВрожаю
""
Підтримай
🫡
Разом — до перемоги!
💳
Номер картки банки
4441111124473095
https://www.kara.army/donate
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те,
що ви з нами!
💙
💛",https://t.me/rubpak54/318,0,
post,36,rubpak54,285,,"Друзі, нам терміново потрібні літаки DARTS для точних ударів по ворогу!
Долучайтеся до збору!
Разом — до перемоги!
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/285,0,
